Male,Asian,White,Black,top,right,bottom,left
0.20498673096506737,0.008265863354408712,0.6304601494503466,0.06100962563629591,438,629,546,521
0.9664988941146533,0.002685081916724619,0.8888648655401202,0.012242718116904156,331,1393,438,1286
0.9799570843293138,0.023594159686093217,0.12197968605100036,0.054583335273176416,477,906,632,752
0.16544951709788824,0.011845618136744781,0.8614083257384129,0.0032840860432728275,438,760,546,653
0.2229431333024017,0.0015230150324765936,0.8566036804257389,0.018556289669183785,614,752,769,597
0.08245547887807475,0.005980194864726502,0.8305325322176663,0.0028505269728652124,569,1271,698,1142
0.3067289584983931,0.005832571540262774,0.9729263780939316,0.014807651619218773,426,342,534,235
0.02164818546288881,0.010035164729786586,0.6185443451460606,0.020378171404186594,558,163,665,55
0.9781196445033625,0.0013543842627179877,0.9417063196938352,0.007397255605115494,305,952,395,862
0.2395139425672639,0.005919406860584824,0.9709689510793765,0.025766900125424146,683,941,838,786
0.07026245353584916,0.0064517907576317245,0.9252241496172346,0.004873156511633824,555,1099,684,970
0.09353761190257447,0.0021322213570340283,0.7457543979039176,0.055881116889352135,462,1178,570,1071
0.02693387062730995,0.004322617739975292,0.9650672841400552,0.004818082451950169,438,1286,546,1178
0.9261489878871274,0.12135295881254685,0.3430072656150061,0.03468665467629112,440,1457,569,1328
0.06490777137898951,0.007897203868483521,0.09126682754386407,0.34477150678884716,426,999,534,892
0.9263763371120732,0.0003114449011455173,0.9699840394359884,0.02546006875527316,305,404,395,315
