Male,Asian,White,Black,top,right,bottom,left
0.9708973348205225,0.004331726577678243,0.04197787581314949,0.08695882650619938,462,689,570,581
0.9336905142477734,0.003651589190366354,0.016312481656183618,0.47599332669022915,291,544,343,492
0.9717166500995067,0.12463782287994774,0.002134029819233239,0.5615305227973463,295,151,402,44
0.9722548146118295,0.01069677215206895,0.02049933666368205,0.8511672777324165,295,592,338,549
0.9884399020961596,0.0026015481826362104,0.03137804687735441,0.5697104870796484,343,722,405,660
0.986810717022972,0.009713716494556893,0.22054205299447324,0.011669856317774119,415,792,504,703
0.9895944489353191,0.012606850942769116,0.017995469488841988,0.3922065325709207,274,665,326,613
0.9891146137432496,0.028962450136351004,0.02146386914122343,0.8665604979347717,337,625,389,573
0.9839047244308533,0.010194347063771562,0.008263952358608087,0.5101589716190728,385,474,474,384
0.9730713075367411,0.051311664935947694,0.15170197884817216,0.07332210428745119,294,792,357,729
0.9669565660730665,0.027816944531948017,0.02643242355164482,0.09431500171496887,213,353,287,278
0.9696208147015748,0.01490233417316186,0.006141463310129544,0.9374970515710099,245,734,297,682
0.9436002377391881,0.05598457779198715,0.047836349598572074,0.3172300437019532,329,900,403,834
0.9899075632505833,0.03869271684750866,0.006223779120668132,0.7027102122949311,225,446,288,384
0.9841743317076113,0.05831486650315649,0.009388877972967731,0.5902302509656833,326,481,378,429
