Male,Asian,White,Black,top,right,bottom,left
0.009249288640695647,0.006314752963452254,0.8956285292744447,0.009090503027410787,375,116,464,26
0.03650038570364431,0.23338635039004615,0.761928714514064,0.001414117728050515,450,378,558,270
0.9657736652884777,0.007471969959172279,0.8742069183174054,0.002667112887261599,235,987,343,880
0.8267297457455467,0.03919439180771084,0.20317461848538954,0.001944016652067823,395,1101,484,1011
0.9763047173081739,0.03471490082405547,0.7554648049478794,0.01423754320981807,311,726,440,597
