Male,Asian,White,Black,top,right,bottom,left
0.9937776277433352,0.0007453632448681858,0.9917877064563144,0.0015374004603842658,1283,736,1345,674
0.9860807584992792,0.00393836160163815,0.8319505139363139,0.005685594356662271,1478,607,1530,556
0.7635225350504656,0.9687666637633915,0.006565075080295852,0.01724765439057323,1442,1538,1504,1476
0.9615993629574922,0.007735982822890196,0.7840992936360538,0.007083851163559638,1270,988,1322,936
0.9595768888685908,0.7333266142431867,0.09137342747274499,0.0019470790410908451,1373,2374,1435,2312
0.9673984130160951,0.02207435780859591,0.804701086983548,0.0032484142705384213,1331,2609,1393,2547
0.9568757487923766,0.365749965617011,0.09203878195158556,0.011056639858811034,1276,1427,1338,1365
0.9879619998413814,0.8291745406072757,0.07399849613109588,0.037290359050675445,1373,1455,1435,1393
0.884684199812023,0.8116279059012673,0.10412058434000857,0.029983686280381828,1276,2289,1328,2238
0.9831373191537459,0.03848424424551941,0.9370464577883282,0.015635808962856195,1483,2056,1545,1994
0.9772628590954991,0.002548574119934077,0.9664046045447353,0.013819462084432296,1456,2817,1518,2755
0.9770133969181685,0.10128062025612766,0.7798996622866006,0.004625710564882098,1483,2264,1545,2202
0.984176447469731,0.9560460908559166,0.040514762854939226,0.01946101143268795,1270,1633,1322,1581
0.9402839601043507,0.9664870950174184,0.03254368949109341,0.030747541686851357,1293,2082,1345,2030
0.9909690041690397,0.01235984445850873,0.556204955206076,0.012775267160310196,1386,2157,1437,2105
0.28461658376546634,0.8984226036530814,0.12319235827484037,0.0011082506518558047,1525,2533,1587,2471
0.9647569413404582,0.8440866844332671,0.005569605513735804,0.1895186307331045,1456,363,1518,301
0.9913898495659571,0.029764360898680144,0.8782026821349805,0.015366994561314217,1269,2796,1331,2734
0.9698019689647894,0.1210781087644052,0.6676749286182269,0.01208483223261048,1469,163,1532,100
0.8305174749783238,0.8683902001756847,0.03516350512137922,0.03736207617334775,1400,1213,1463,1151
0.9519885453861278,0.011503721132667608,0.7762365953277968,0.02144182890423095,1432,1068,1484,1016
0.8941738540630048,0.02308230696491669,0.8767371468390226,0.018356311611058617,1276,2526,1328,2474
0.10017056688105509,0.023430774344515022,0.8614873933120247,0.02292046616323756,1270,1207,1322,1155
0.9698443650628753,0.0028643712348446725,0.9594510407193172,0.018738015442833173,1380,2791,1432,2739
0.9824498347107371,0.015936481401687862,0.9459351675325129,0.009937616746084699,1259,1857,1311,1806
0.9868330344205996,0.011335671922530956,0.8627649990585772,0.007765831748289691,1345,992,1407,930
0.820505052673442,0.01897184238439924,0.038362017063871864,0.6576712509618464,1357,1932,1409,1880
0.0711307368691593,0.003434425375856559,0.9560054948644252,0.0064068596367640625,1476,1289,1539,1227
0.9166652767256683,0.005783426001074588,0.7351202704400727,0.014768529876486918,1432,1796,1507,1722
0.8035332966501744,0.16499434800272866,0.005951693555916783,0.7846220825861518,1472,815,1524,763
0.9134768849461742,0.07469433209175666,0.012543001473963571,0.8689261653111271,1345,1704,1407,1642
0.9498869984633013,0.01731011354499699,0.8215334604435021,0.01834338351845183,1366,3032,1440,2958
0.0696975412035819,0.02813301995333578,0.8748896272794622,0.010445531705316206,1363,613,1414,561
0.9826133178657006,0.009149933223694512,0.6737466720856651,0.0038418575750021255,1345,429,1397,377
0.9584344342718903,0.006231774578533169,0.9425917398534575,0.035036788991922155,1363,809,1414,757
